 HEX, German, English
#BEBD7F,Grünbeige,Green beige
#C2B078,Beige,Beige
#C6A664,Sandgelb,Sand yellow
#E5BE01,Signalgelb,Signal yellow
#CDA434,Goldgelb,Golden yellow
#A98307,Honiggelb,Honey yellow
#E4A010,Maisgelb,Maize yellow
#DC9D00,Narzissengelb,Daffodil yellow
#8A6642,Braunbeige,Brown beige
#C7B446,Zitronengelb,Lemon yellow
#EAE6CA,Perlweiß,Oyster white
#E1CC4F,Elfenbein,Ivory
#E6D690,Hellelfenbein,Light ivory
#EDFF21,Schwefelgelb,Sulfur yellow
#F5D033,Safrangelb,Saffron yellow
#F8F32B,Zinkgelb,Zinc yellow
#9E9764,Graubeige,Grey beige
#999950,Olivgelb,Olive yellow
#FAD201,Verkehrsgelb,Traffic yellow
